utt_id,singer_id,technique,word_mean_tbe,word_within_50ms,phone_mean_tbe,phone_within_50ms
EN-Alto-1__breathy__technique__all_is_found__0000,EN-Alto-1,breathy,0.05985714285714283,0.7142857142857143,0.43025,0.05
EN-Alto-1__breathy__technique__all_is_found__0001,EN-Alto-1,breathy,0.06683333333333334,0.6666666666666666,0.972810810810811,0.0
EN-Alto-1__breathy__technique__all_is_found__0002,EN-Alto-1,breathy,0.09371428571428567,0.42857142857142855,0.25910526315789467,0.10526315789473684
EN-Alto-1__breathy__technique__all_is_found__0003,EN-Alto-1,breathy,0.466,0.3333333333333333,0.9,0.0
EN-Alto-1__breathy__technique__all_is_found__0004,EN-Alto-1,breathy,0.29235714285714287,0.2857142857142857,0.5255135135135136,0.02702702702702703
EN-Alto-1__breathy__technique__all_is_found__0005,EN-Alto-1,breathy,0.06162499999999997,0.375,0.6208947368421052,0.2631578947368421
EN-Alto-1__breathy__technique__all_is_found__0006,EN-Alto-1,breathy,1.18475,0.125,1.105,0.2
EN-Alto-1__breathy__technique__all_is_found__0007,EN-Alto-1,breathy,1.5591428571428572,0.0,2.406052631578947,0.05263157894736842
EN-Alto-1__breathy__technique__all_is_found__0008,EN-Alto-1,breathy,0.30081818181818176,0.36363636363636365,0.25925,0.4375
EN-Alto-1__breathy__technique__all_is_found__0009,EN-Alto-1,breathy,0.1765,0.5,0.7798333333333334,0.3333333333333333
EN-Alto-1__breathy__technique__all_is_found__0010,EN-Alto-1,breathy,0.432,0.42857142857142855,0.27760000000000007,0.1
EN-Alto-1__breathy__technique__all_is_found__0011,EN-Alto-1,breathy,0.48483333333333317,0.0,1.6931874999999998,0.0
EN-Alto-1__breathy__technique__all_is_found__0012,EN-Alto-1,breathy,0.029111111111111174,0.8888888888888888,0.9660384615384617,0.2692307692307692
EN-Alto-1__breathy__technique__all_is_found__0013,EN-Alto-1,breathy,2.46525,0.0,1.887363636363636,0.2727272727272727
EN-Alto-1__breathy__control__all_is_found__0000,EN-Alto-1,breathy,0.5172142857142857,0.42857142857142855,0.2829750000000001,0.0
EN-Alto-1__breathy__control__all_is_found__0001,EN-Alto-1,breathy,0.09479166666666665,0.5,0.9832567567567565,0.0
EN-Alto-1__breathy__control__all_is_found__0002,EN-Alto-1,breathy,0.01542857142857149,0.8571428571428571,0.3325263157894738,0.05263157894736842
EN-Alto-1__breathy__control__all_is_found__0003,EN-Alto-1,breathy,0.43716666666666676,0.3333333333333333,0.76675,0.0
EN-Alto-1__breathy__control__all_is_found__0004,EN-Alto-1,breathy,0.2442857142857143,0.2857142857142857,0.43718918918918914,0.0
EN-Alto-1__breathy__control__all_is_found__0005,EN-Alto-1,breathy,0.08681249999999993,0.5,0.7165,0.5263157894736842
EN-Alto-1__breathy__control__all_is_found__0006,EN-Alto-1,breathy,0.49550000000000005,0.25,0.59365,0.3
EN-Alto-1__breathy__control__all_is_found__0007,EN-Alto-1,breathy,0.06535714285714282,0.42857142857142855,0.5756578947368421,0.05263157894736842
EN-Alto-1__breathy__control__all_is_found__0008,EN-Alto-1,breathy,0.28304545454545443,0.2727272727272727,0.23501562499999995,0.4375
EN-Alto-1__breathy__control__all_is_found__0009,EN-Alto-1,breathy,0.15637500000000007,0.25,0.80875,0.3333333333333333
EN-Alto-1__breathy__control__all_is_found__0010,EN-Alto-1,breathy,0.4833571428571427,0.2857142857142857,0.3375749999999999,0.0
EN-Alto-1__breathy__control__all_is_found__0011,EN-Alto-1,breathy,0.5139166666666665,0.0,1.65090625,0.0
EN-Alto-1__breathy__control__all_is_found__0012,EN-Alto-1,breathy,0.02950000000000005,0.8888888888888888,0.9357884615384617,0.34615384615384615
EN-Alto-1__breathy__control__all_is_found__0013,EN-Alto-1,breathy,0.6781250000000002,0.0,0.4674090909090909,0.2727272727272727
EN-Alto-1__breathy__speech__all_is_found__0000,EN-Alto-1,breathy,0.047857142857142834,0.42857142857142855,0.17325000000000004,0.05
EN-Alto-1__breathy__speech__all_is_found__0001,EN-Alto-1,breathy,0.035624999999999934,0.6666666666666666,0.41758108108108105,0.0
EN-Alto-1__breathy__speech__all_is_found__0002,EN-Alto-1,breathy,2.0996428571428574,0.7142857142857143,2.0503947368421054,0.10526315789473684
EN-Alto-1__breathy__speech__all_is_found__0003,EN-Alto-1,breathy,0.032500000000000036,0.6666666666666666,0.08468750000000003,0.375
EN-Alto-1__breathy__speech__all_is_found__0004,EN-Alto-1,breathy,0.0714285714285714,0.5714285714285714,0.1479189189189189,0.1891891891891892
EN-Alto-1__breathy__speech__all_is_found__0005,EN-Alto-1,breathy,0.6059375,0.25,0.41086842105263166,0.3157894736842105
EN-Alto-1__breathy__speech__all_is_found__0006,EN-Alto-1,breathy,0.052749999999999964,0.5,0.06005000000000005,0.45
EN-Alto-1__breathy__speech__all_is_found__0007,EN-Alto-1,breathy,0.27899999999999997,0.0,0.47010526315789486,0.05263157894736842
EN-Alto-1__breathy__speech__all_is_found__0008,EN-Alto-1,breathy,0.10800000000000005,0.2727272727272727,0.11383870967741933,0.22580645161290322
EN-Alto-1__breathy__speech__all_is_found__0009,EN-Alto-1,breathy,0.36624999999999996,0.25,0.34500000000000003,0.08333333333333333
EN-Alto-1__breathy__speech__all_is_found__0010,EN-Alto-1,breathy,0.042857142857142885,0.7142857142857143,0.189,0.05
EN-Alto-1__breathy__speech__all_is_found__0011,EN-Alto-1,breathy,0.020833333333333315,0.8333333333333334,0.45499999999999996,0.0
EN-Alto-1__breathy__speech__all_is_found__0012,EN-Alto-1,breathy,0.04111111111111111,0.5555555555555556,0.4313461538461538,0.38461538461538464
EN-Alto-1__breathy__speech__all_is_found__0013,EN-Alto-1,breathy,0.039999999999999994,0.5,0.030000000000000013,0.8181818181818182
EN-Alto-1__breathy__technique__innocence__0000,EN-Alto-1,breathy,0.11126315789473684,0.7368421052631579,0.20070588235294118,0.21568627450980393
EN-Alto-1__breathy__technique__innocence__0001,EN-Alto-1,breathy,0.07032499999999994,0.6,0.11315833333333337,0.36666666666666664
EN-Alto-1__breathy__technique__innocence__0002,EN-Alto-1,breathy,0.9850454545454546,0.2727272727272727,0.9066346153846154,0.038461538461538464
EN-Alto-1__breathy__technique__innocence__0003,EN-Alto-1,breathy,0.2246,0.4,0.2066666666666667,0.375
EN-Alto-1__breathy__technique__innocence__0004,EN-Alto-1,breathy,0.10450000000000007,0.6,0.11751612903225805,0.7096774193548387
EN-Alto-1__breathy__technique__innocence__0005,EN-Alto-1,breathy,0.6195625,0.125,0.7305588235294117,0.23529411764705882
EN-Alto-1__breathy__technique__innocence__0006,EN-Alto-1,breathy,0.20246153846153836,0.6923076923076923,0.8741481481481481,0.25925925925925924
EN-Alto-1__breathy__technique__innocence__0007,EN-Alto-1,breathy,0.02699999999999998,1.0,0.019259259259259285,0.9259259259259259
EN-Alto-1__breathy__technique__innocence__0008,EN-Alto-1,breathy,0.1892894736842105,0.3157894736842105,0.23014150943396222,0.24528301886792453
EN-Alto-1__breathy__technique__innocence__0009,EN-Alto-1,breathy,0.5115882352941176,0.5294117647058824,0.9539255319148935,0.2978723404255319
EN-Alto-1__breathy__technique__innocence__0010,EN-Alto-1,breathy,1.2195,0.4,1.74778125,0.375
EN-Alto-1__breathy__technique__innocence__0011,EN-Alto-1,breathy,0.27900000000000014,0.16666666666666666,0.2534047619047619,0.2619047619047619
EN-Alto-1__breathy__technique__innocence__0012,EN-Alto-1,breathy,0.34054999999999996,0.5,0.51634,0.48
EN-Alto-1__breathy__technique__innocence__0013,EN-Alto-1,breathy,1.515230769230769,0.0,0.8465185185185184,0.0
EN-Alto-1__breathy__control__innocence__0000,EN-Alto-1,breathy,0.09713157894736855,0.6842105263157895,0.1620098039215686,0.35294117647058826
EN-Alto-1__breathy__control__innocence__0001,EN-Alto-1,breathy,0.0538,0.75,0.11040000000000005,0.35
EN-Alto-1__breathy__control__innocence__0002,EN-Alto-1,breathy,0.04677272727272729,0.7272727272727273,1.481442307692308,0.038461538461538464
EN-Alto-1__breathy__control__innocence__0003,EN-Alto-1,breathy,2.5923,0.0,2.4174374999999997,0.041666666666666664
EN-Alto-1__breathy__control__innocence__0004,EN-Alto-1,breathy,0.10105,0.6,0.18251666666666663,0.2
