technique,origin,n,zeroshot_accuracy,mean_sim_correct_prompt,chance
breathy,real,225,0.0,0.16990332305431366,0.16666666666666666
breathy,aug,675,0.0,0.07573682814836502,0.16666666666666666
glissando,real,225,0.7377777777777778,0.3480153977870941,0.16666666666666666
glissando,aug,900,0.6577777777777778,0.2866053581237793,0.16666666666666666
mixed_falsetto,real,164,0.0,0.20033957064151764,0.16666666666666666
mixed_falsetto,aug,459,0.0,0.11429233849048615,0.16666666666666666
pharyngeal,real,349,0.0,0.12622810900211334,0.16666666666666666
pharyngeal,aug,1047,0.0,0.1932789534330368,0.16666666666666666
vibrato,real,302,0.0,0.28158703446388245,0.16666666666666666
vibrato,aug,906,0.005518763796909493,0.3011241555213928,0.16666666666666666
